date,serial_number,model,failure,smart_7_raw,smart_9_raw,smart_240_raw,smart_241_raw,smart_242_raw,smart_7_norm,smart_9_norm,smart_240_norm,smart_241_norm,smart_242_norm
2020-01-25,S300XBD8,ST4000DM000,0,65549258.0,39365.0,39103.0,59025638128.0,213213160212.0,-0.48457794228150797,1.0754317931268857,1.0763380348769993,1.0453257471459347,0.9971085860044696
2020-01-26,S300XBD8,ST4000DM000,0,68245197.0,39389.0,39127.0,59065016496.0,213479233104.0,-0.47785337644779957,1.1315552788552483,1.1324568027483597,1.129455812792755,1.038505841146281
2020-01-27,S300XBD8,ST4000DM000,0,69985496.0,39413.0,39151.0,59118680128.0,213763629902.0,-0.47351249366230747,1.1876787645836107,1.18857557061972,1.2441056856114252,1.0827540421555002
2020-01-28,S300XBD8,ST4000DM000,0,71558901.0,39437.0,39175.0,59146478000.0,213849867334.0,-0.4695878998545151,1.2438022503119732,1.2446943384910807,1.3034945560745663,1.0961713916210694
2020-01-29,S300XBD8,ST4000DM000,0,72795928.0,39461.0,39199.0,59177275424.0,214141574036.0,-0.4665023443209608,1.2999257360403358,1.300813106362441,1.3692918309355497,1.141556912402609
2020-01-30,S300XBD8,ST4000DM000,0,73845518.0,39485.0,39223.0,59202447624.0,214446931337.0,-0.46388431881912195,1.3560492217686981,1.3569318742338015,1.42307107436369,1.1890662772382872
2020-01-31,S300XBD8,ST4000DM000,0,74801628.0,39509.0,39247.0,59228172912.0,214768842536.0,-0.46149946343505466,1.4121727074970607,1.413050642105162,1.4780319647749776,1.239151199222784
2020-02-01,S300XBD8,ST4000DM000,0,76933288.0,39533.0,39271.0,59250196480.0,215119132850.0,-0.4561823965410772,1.4682961932254233,1.4691694099765225,1.5250843012663529,1.2936515182645423
2020-02-02,S300XBD8,ST4000DM000,0,79677601.0,39557.0,39295.0,59271224944.0,215439442158.0,-0.44933716991065203,1.5244196789537856,1.5252881778478828,1.5700106439926893,1.3434872082061282
2020-02-03,S300XBD8,ST4000DM000,0,81361918.0,39581.0,39319.0,59307251400.0,215738928130.0,-0.44513592479667347,1.5805431646821482,1.5814069457192432,1.6469795043655284,1.3900830756057934
2020-02-04,S300XBD8,ST4000DM000,0,83270388.0,39605.0,39343.0,59344259064.0,215888823937.0,-0.4403755677720311,1.6366666504105107,1.6375257135906038,1.7260446703408034,1.4134047861356536
2020-02-05,S300XBD8,ST4000DM000,1,84197223.0,39617.0,39355.0,59367274360.0,216018074688.0,-0.4380637339454923,1.664728393274692,1.665585097526284,1.7752157879290438,1.4335144120212464
2019-11-30,S300YQ0H,ST4000DM000,0,935582285.0,38308.0,37930.0,53665157560.0,200642574002.0,0.8152686867693918,-1.68772376432156,-1.68939129675663,-1.6963135969763627,-1.7000270642445414
